,1,2,3,4,5,6,7,8,9,10
261594,4,4,8,12,30,85,197,368,198,76
334590,0,0,1,3,10,51,178,"999,999","999,999","999,999"
123260,43,71,"999,999",307,819,"3,151","6,278","9,901","2,959","1,026"
257614,17,10,22,"999,999",240,913,"1,396","1,087",174,90
366161,13,5,3,15,38,101,382,"1,441",930,620
521,132,67,101,229,476,"1,367","2,642","5,155","3,238","3,311"
71721,28,"999,999",159,353,815,"2,812","3,964","3,705",915,414
259374,3,4,7,33,68,283,445,499,91,29
350458,3,5,5,23,47,165,312,484,167,95
129622,128,228,507,"1,289","3,248","11,676","19,936","19,821","5,982","3,050"
265188,11,8,14,49,135,507,"1,298","3,516","1,404",549
1540,10,17,55,139,239,764,906,815,361,273
318184,12,22,56,83,191,541,"1,009","2,193","1,061",442
2651,131,151,342,734,"999,999","5,636","12,559","24,849","11,810","5,909"
335609,3,8,18,63,129,449,807,750,156,66
146021,128,171,360,641,"1,182","3,630","6,374","11,937","6,662","4,171"
184267,50,39,94,142,256,736,"1,281","3,535","3,007","2,330"
132372,4,18,40,101,287,980,"1,281","1,157",199,58
232988,10,16,41,99,252,924,"1,321","1,005",184,73
25613,187,132,219,326,625,"1,726","2,989","5,882","3,955","3,113"
150145,10,24,52,126,300,"1,124","2,313","2,974","1,064",580
133848,35,55,114,275,557,"1,706","2,881","3,672",961,393
192291,31,35,101,327,984,"4,577","9,900","12,482","2,959","1,186"
168681,3,9,27,57,164,545,672,565,89,34
179303,10,15,54,129,288,833,975,662,167,58
244918,8,11,22,43,115,418,788,740,158,82
332386,2,10,27,53,161,566,990,"1,044",199,79
345584,8,23,17,48,103,369,827,"1,709",693,395
262712,39,67,125,229,677,"2,216","4,248","7,839","3,189","1,594"
183562,24,7,16,44,81,307,671,"1,071",550,323
241831,8,15,51,107,297,914,"1,122",779,128,40
194626,35,61,111,217,460,"1,431","1,365","1,092",322,206
236457,37,32,98,252,586,"2,372","5,464","12,550","4,194","1,547"
162886,128,131,337,510,921,"2,970","5,084","12,805","11,203","12,178"
247367,4,10,19,49,172,748,"1,609","2,363",560,218
173346,91,118,241,"999,999","1,205","5,035","13,680","36,501","20,290","9,952"
166857,2,1,5,22,51,216,431,598,171,83
256952,7,7,16,41,118,515,"1,141","1,674",642,361
165986,3,4,18,44,131,481,816,949,177,60
299960,12,6,17,45,109,369,657,"1,113",256,115
216428,4,2,11,39,117,413,631,525,86,51
27162,33,60,141,347,918,"3,286","6,049","6,850","1,364",443
154086,2,3,10,48,92,482,877,"1,218",218,75
21441,6,9,29,102,271,932,"1,395","1,059",125,33
338760,3,11,19,23,45,139,269,741,378,138
2955,4,12,33,75,225,956,"1,863","2,010",450,142
293014,9,14,39,119,273,"1,254","2,901","5,408","1,524",496
7805,7,28,94,289,694,"2,348","2,691","1,658",260,102
986,5,20,52,170,369,"1,134","1,269",831,146,53
71074,7,8,22,49,115,429,611,597,109,42
25643,7,5,26,109,276,991,"1,450","1,215",169,47
204,11,10,34,82,214,660,859,805,187,63
176371,3,3,15,40,107,502,888,"1,094",247,90
146418,7,9,33,60,135,403,539,525,177,116
183251,6,12,28,136,441,"1,954","3,722","3,498",667,208
233867,34,"999,999",76,247,699,"3,103","7,864","12,322","3,293","1,115"
293678,0,3,5,8,42,185,386,522,108,46
176544,2,1,4,24,97,349,760,"1,037",147,49
218121,15,17,49,109,269,"1,046","1,911","2,057",372,142
20542,17,6,8,11,20,53,169,360,259,185
40793,14,35,87,224,487,"1,770","2,448","2,076",314,98
257527,4,13,20,76,163,649,913,756,176,76
9674,24,39,94,280,802,"3,419","5,660","5,171","1,039",393
297978,24,20,57,137,311,"1,099","1,501","1,230",192,84
258210,7,6,15,35,101,515,"1,262","2,357",585,202
73,4,5,22,53,95,376,573,521,95,47
94362,8,17,54,153,391,"1,105","1,290","1,055",241,107
150,23,41,73,216,503,"1,832","3,097","3,436","1,066",473
12495,8,15,35,101,196,595,981,978,193,71
327711,3,6,16,49,91,330,603,900,212,83
171669,2,16,38,84,243,"1,008","1,652","1,543",223,72
329873,0,0,1,4,12,86,306,567,176,64
287954,17,22,42,124,330,"1,316","3,474","6,384","1,858",738
283355,29,43,59,114,241,709,"1,187","2,302","1,555","1,347"
40628,7,14,49,123,375,"1,434","2,558","2,214",379,152
199561,37,44,136,368,"1,112","4,656","11,023","15,364","4,039","1,547"
232,6,12,22,81,186,518,735,536,145,59
172287,26,36,"999,999",157,440,"1,619","999,999","7,332","2,598","1,189"
528,8,17,34,93,187,728,"1,219","1,344",433,198
329082,14,14,39,74,197,590,"1,377","3,358","1,578",785
182340,3,8,13,28,51,181,348,591,410,205
315767,5,0,6,17,55,272,784,"1,594",532,244
146278,16,55,117,197,417,"1,238","1,729","2,103",730,367
2653,19,45,"999,999",316,939,"4,133","7,701","8,757","2,112",975
143404,4,8,12,51,116,499,713,489,93,41
295770,219,49,43,37,53,82,140,460,964,"3,117"
54625,157,49,69,110,263,831,"1,465","2,176","1,076",876
148319,21,35,72,136,246,795,"1,062","1,368",483,263
310100,20,8,32,33,63,190,376,"1,239","1,183",956
270673,6,9,22,85,273,"1,273","2,546","2,643",444,158
54138,29,28,66,122,213,709,"1,267","2,495","1,160",556
188,110,115,250,496,"1,045","2,386","3,090","3,437","1,871","3,972"
143986,26,51,114,254,571,"1,811","2,023","1,235",224,80
282524,19,9,31,105,305,"1,437","3,628","6,433","1,973",773
163068,19,25,73,108,275,887,"1,502","3,648","2,036","1,421"
318553,3,2,13,14,48,245,609,"1,016",257,85
274638,6,9,18,9,55,229,712,"1,552",609,391
233078,140,126,152,229,350,"1,071","1,762","4,362","5,249","8,227"
252446,0,1,10,12,48,210,421,520,123,41
363247,0,1,4,1,18,54,236,546,183,103
10,14,32,106,321,719,"2,440","2,973","1,768",334,100
260605,18,14,25,80,243,"1,207","2,839","4,440","1,287",550
276830,2,10,26,55,134,420,597,745,137,79
217398,4,9,12,24,59,211,360,613,191,70
46,8,28,64,136,408,"1,432","2,559","2,537",622,244
203420,44,54,96,119,396,"1,323","2,898","4,300","1,425",392
297030,14,18,32,70,141,477,"1,012","2,359",915,351
194607,17,23,98,217,583,"1,881","3,171","3,910","1,117",435
37046,66,119,227,490,936,"3,323","5,418","7,334","2,096",986
351040,8,6,18,33,72,265,529,"1,092",410,166
105551,42,48,125,230,430,"1,197","1,887","2,611","1,072",472
195137,2,9,23,43,108,402,682,"1,052",362,175
65781,23,16,43,108,253,913,"1,784","2,584",644,170
221107,140,134,153,236,458,"1,140","2,222","4,666","3,834","999,999"
299121,7,3,4,12,32,86,174,508,286,141
302723,15,20,46,54,149,477,907,"2,135","1,135",537
182189,5,12,27,89,251,856,999,722,115,47
21790,20,54,136,335,948,"3,681","6,872","6,173","1,153",346
198773,38,46,140,418,"1,000","3,894","6,707","6,815","1,835",702
340,9,20,50,144,354,"1,106","1,134",629,168,59
8125,11,17,33,99,250,973,"1,638","1,740",368,114
38823,12,4,12,27,46,139,299,542,264,138
126042,37,47,89,213,418,"1,377","2,496","999,999","1,946",833
168917,9,6,28,68,161,660,"1,120","1,002",325,185
150312,26,73,183,503,"1,256","4,397","4,636","2,431",293,112
42215,9,24,76,230,580,"2,307","3,908","3,835",687,242
156566,8,18,69,129,331,"1,140","1,876","1,981",405,145
15511,5,10,40,96,245,880,"1,017",678,128,52
370591,4,8,27,32,73,194,424,863,398,175
291508,6,8,22,22,122,425,988,"1,265",250,101
298102,1,3,7,19,49,217,420,664,220,96
104162,57,111,218,443,955,"3,029","5,198","8,530","3,980","2,426"
50,72,138,301,719,"2,063","7,575","14,032","14,420","3,833","1,484"
35503,6,15,51,88,204,613,787,647,130,42
151007,11,20,26,72,157,411,633,814,330,172
169255,16,21,52,118,242,666,"1,047","1,457",692,518
271319,3,3,11,18,60,253,639,861,204,74
37358,4,12,28,57,139,390,542,600,110,48
267813,1,14,32,60,149,530,757,667,145,59
90040,4,3,18,46,153,602,848,726,84,19
314491,5,15,35,70,193,771,"1,658","3,795","1,379",573
208895,7,18,41,98,302,"1,043","1,267",755,116,52
205359,29,30,53,117,266,765,"1,220","1,647",737,515
218421,8,4,9,15,39,109,191,456,306,198
298047,43,19,51,112,250,"1,036","2,141","3,453","1,191",749
206480,6,8,20,23,40,152,242,736,716,446
251678,6,12,40,109,317,"1,306","2,274","1,997",414,138
169794,2,7,9,24,96,308,595,712,148,40
165948,0,2,12,23,63,299,589,621,90,26
268620,9,12,48,120,323,"1,322","1,676","1,063",209,94
181796,1,8,18,43,107,391,762,"1,034",232,61
325698,2,5,11,29,98,362,673,650,91,24
224710,16,21,38,63,114,386,865,"1,450",657,415
253759,3,9,21,48,90,290,461,648,204,81
24181,35,55,60,186,337,971,"1,817","3,074","1,367",792
159508,16,20,76,166,370,"1,122","1,889","2,723",701,206
162082,13,17,52,140,380,"1,344","2,537","3,339",742,219
230244,10,27,61,105,252,711,"1,086","1,643",520,178
